Km,Dist,Latitude,Longitude,Feature Code,Feature Detail,Section Name
397,18,"22°06'12.144""N","85°22'29.154""E",2, TP/OHE Mast-1,BBN-BYX
397,72,,,2, TP/OHE Mast-5,BBN-BYX
397,130,"22°06'13.248""N","85°22'25.482""E",2, TP/OHE Mast-7,BBN-BYX
397,193,"22°06'13.572""N","85°22'23.448""E",2, TP/OHE Mast-9,BBN-BYX
397,396,"22°06'15.324""N","85°22'16.572""E",2, TP/OHE Mast-8,BBN-BYX
397,441,"22°06'15.654""N","85°22'15.036""E",2, TP/OHE Mast-9,BBN-BYX
397,505,"22°06'16.104""N","85°22'12.996""E",2, TP/OHE Mast-11,BBN-BYX
397,629,"22°06'17.094""N","85°22'08.808""E",2, TP/OHE Mast-13,BBN-BYX
397,695,"22°06'17.664""N","85°22'06.618""E",2, TP/OHE Mast-13,BBN-BYX
397,758,"22°06'18.258""N","85°22'04.236""E",2, TP/OHE Mast-14,BBN-BYX
397,819,"22°06'18.888""N","85°22'02.130""E",2, TP/OHE Mast-15,BBN-BYX
397,895,"22°06'19.560""N","85°21'59.400""E",2, TP/OHE Mast-17,BBN-BYX
397,935,"22°06'19.578""N","85°21'57.978""E",2, TP/OHE Mast-18,BBN-BYX
398,8,"22°06'19.536""N","85°21'56.970""E",2, TP/OHE Mast-1,BBN-BYX
398,45,"22°06'19.362""N","85°21'55.668""E",2, TP/OHE Mast-2,BBN-BYX
398,71,"22°06'19.266""N","85°21'54.744""E",2, TP/OHE Mast-3,BBN-BYX
398,139,"22°06'18.648""N","85°21'52.590""E",2, TP/OHE Mast-5,BBN-BYX
398,184,"22°06'18.198""N","85°21'51.114""E",2, TP/OHE Mast-6,BBN-BYX
398,228,"22°06'17.856""N","85°21'49.602""E",2, TP/OHE Mast-7,BBN-BYX
398,260,"22°06'17.514""N","85°21'48.504""E",2, TP/OHE Mast-8,BBN-BYX
398,294,"22°06'17.196""N","85°21'47.346""E",2, TP/OHE Mast-9,BBN-BYX
398,329,"22°06'16.794""N","85°21'46.224""E",2, TP/OHE Mast-10,BBN-BYX
398,362,"22°06'16.356""N","85°21'45.168""E",2, TP/OHE Mast-11,BBN-BYX
398,391,"22°06'15.900""N","85°21'44.280""E",2, TP/OHE Mast-12,BBN-BYX
398,428,"22°06'15.192""N","85°21'43.254""E",2, TP/OHE Mast-13,BBN-BYX
398,458,"22°06'14.652""N","85°21'42.438""E",2, TP/OHE Mast-14,BBN-BYX
398,494,"22°06'13.758""N","85°21'41.562""E",2, TP/OHE Mast-15,BBN-BYX
398,530,"22°06'12.858""N","85°21'40.812""E",2, TP/OHE Mast-16,BBN-BYX
398,584,"22°06'11.352""N","85°21'39.786""E",2, TP/OHE Mast-17,BBN-BYX
398,644,"22°06'09.750""N","85°21'38.676""E",2, TP/OHE Mast-18,BBN-BYX
398,706,"22°06'07.986""N","85°21'37.470""E",2, TP/OHE Mast-19,BBN-BYX
398,764,"22°06'06.444""N","85°21'36.468""E",2, TP/OHE Mast-20,BBN-BYX
398,828,"22°06'04.590""N","85°21'35.160""E",2, TP/OHE Mast-21,BBN-BYX
398,872,"22°06'03.468""N","85°21'34.308""E",2, TP/OHE Mast-22,BBN-BYX
398,900,"22°06'02.724""N","85°21'33.780""E",2, TP/OHE Mast-23,BBN-BYX
398,926,"22°06'02.106""N","85°21'33.324""E",2, TP/OHE Mast-23,BBN-BYX
399,7,"22°06'00.222""N","85°21'31.404""E",2, TP/OHE Mast-1,BBN-BYX
399,47,"22°05'59.316""N","85°21'30.312""E",2, TP/OHE Mast-2,BBN-BYX
399,119,"22°05'58.122""N","85°21'28.092""E",2, TP/OHE Mast-4,BBN-BYX
399,194,"22°05'57.258""N","85°21'25.638""E",2, TP/OHE Mast-6,BBN-BYX
399,234,"22°05'57.036""N","85°21'24.336""E",2, TP/OHE Mast-7,BBN-BYX
399,275,"22°05'56.856""N","85°21'22.974""E",2, TP/OHE Mast-8,BBN-BYX
399,315,"22°05'56.676""N","85°21'21.546""E",2, TP/OHE Mast-9,BBN-BYX
399,356,"22°05'56.712""N","85°21'20.118""E",2, TP/OHE Mast-10,BBN-BYX
399,387,"22°05'56.820""N","85°21'19.044""E",2, TP/OHE Mast-11,BBN-BYX
399,428,"22°05'57.114""N","85°21'17.604""E",2, TP/OHE Mast-12,BBN-BYX
399,477,"22°05'57.552""N","85°21'16.038""E",2, TP/OHE Mast-13,BBN-BYX
399,589,"22°05'58.596""N","85°21'12.228""E",2, TP/OHE Mast-23,BBN-BYX
399,653,"22°05'59.172""N","85°21'10.158""E",2, TP/OHE Mast-24,BBN-BYX
399,716,"22°05'59.706""N","85°21'08.022""E",2, TP/OHE Mast-17,BBN-BYX
399,779,"22°06'00.366""N","85°21'06.030""E",2, TP/OHE Mast-18,BBN-BYX
399,833,"22°06'00.882""N","85°21'04.182""E",2, TP/OHE Mast-19,BBN-BYX
399,873,"22°06'01.074""N","85°21'02.814""E",2, TP/OHE Mast-20,BBN-BYX
399,909,"22°06'01.356""N","85°21'01.206""E",2, TP/OHE Mast-21,BBN-BYX
400,12,"22°06'00.780""N","85°20'57.930""E",2, TP/OHE Mast-1,BBN-BYX
400,48,"22°06'00.414""N","85°20'56.646""E",2, TP/OHE Mast-2,BBN-BYX
400,82,"22°06'00.042""N","85°20'55.584""E",2, TP/OHE Mast-3,BBN-BYX
400,120,"22°05'59.388""N","85°20'54.384""E",2, TP/OHE Mast-4,BBN-BYX
400,152,"22°05'58.842""N","85°20'53.454""E",2, TP/OHE Mast-5,BBN-BYX
400,185,"22°05'58.134""N","85°20'52.626""E",2, TP/OHE Mast-6,BBN-BYX
400,222,"22°05'57.192""N","85°20'51.732""E",2, TP/OHE Mast-7,BBN-BYX
400,322,"22°05'54.582""N","85°20'49.578""E",2, TP/OHE Mast-9,BBN-BYX
400,384,"22°05'53.058""N","85°20'48.138""E",2, TP/OHE Mast-10,BBN-BYX
400,447,"22°05'51.396""N","85°20'46.662""E",2, TP/OHE Mast-11,BBN-BYX
400,515,"22°05'49.620""N","85°20'45.366""E",2, TP/OHE Mast-12,BBN-BYX
400,565,"22°05'48.366""N","85°20'44.298""E",2, TP/OHE Mast-13,BBN-BYX
400,628,"22°05'46.620""N","85°20'43.020""E",2, TP/OHE Mast-14,BBN-BYX
400,677,"22°05'45.288""N","85°20'41.934""E",2, TP/OHE Mast-15,BBN-BYX
400,722,"22°05'44.142""N","85°20'40.974""E",2, TP/OHE Mast-16,BBN-BYX
400,763,"22°05'43.128""N","85°20'40.062""E",2, TP/OHE Mast-17,BBN-BYX
400,803,"22°05'42.258""N","85°20'39.036""E",2, TP/OHE Mast-18,BBN-BYX
400,844,"22°05'41.610""N","85°20'37.872""E",2, TP/OHE Mast-19,BBN-BYX
400,886,"22°05'40.944""N","85°20'36.564""E",2, TP/OHE Mast-21,BBN-BYX
400,920,"22°05'40.452""N","85°20'35.508""E",2, TP/OHE Mast-21,BBN-BYX
400,956,"22°05'39.972""N","85°20'34.296""E",2, TP/OHE Mast-22,BBN-BYX
400,996,"22°05'39.594""N","85°20'32.964""E",2, TP/OHE Mast-23,BBN-BYX
401,38,"22°05'39.252""N","85°20'31.488""E",2, TP/OHE Mast-1,BBN-BYX
401,92,"22°05'38.988""N","85°20'29.664""E",2, TP/OHE Mast-2,BBN-BYX
401,155,"22°05'38.688""N","85°20'27.456""E",2, TP/OHE Mast-3,BBN-BYX
401,219,"22°05'38.208""N","85°20'25.314""E",2, TP/OHE Mast-4,BBN-BYX
401,274,"22°05'37.974""N","85°20'23.478""E",2, TP/OHE Mast-5,BBN-BYX
401,326,"22°05'37.794""N","85°20'21.600""E",2, TP/OHE Mast-6,BBN-BYX
401,366,"22°05'37.542""N","85°20'20.148""E",2, TP/OHE Mast-7,BBN-BYX
401,409,"22°05'37.104""N","85°20'18.798""E",2, TP/OHE Mast-8,BBN-BYX
401,447,"22°05'36.636""N","85°20'17.550""E",2, TP/OHE Mast-9,BBN-BYX
401,487,"22°05'36.024""N","85°20'16.272""E",2, TP/OHE Mast-10,BBN-BYX
401,520,"22°05'35.418""N","85°20'15.330""E",2, TP/OHE Mast-11,BBN-BYX
401,557,"22°05'34.752""N","85°20'14.316""E",2, TP/OHE Mast-12,BBN-BYX
401,598,"22°05'33.804""N","85°20'13.386""E",2, TP/OHE Mast-13,BBN-BYX
